"","target1","target2","relation","target"
5026,"bernie","obamacare","All those who support Bernie support Obamacare.","Hillary Clinton"
5027,"bernie","perry","None.","Hillary Clinton"
5028,"bernie","potus","All those who support bernie support the idea that bernie is suitable for potus.","Hillary Clinton"
5029,"bernie","redskins","None.","Hillary Clinton"
5030,"bernie","romney","All those who support Bernie are highly unlikely to support Romney.","Hillary Clinton"
5031,"bernie","stupid","All those who support Bernie are likely to oppose the notion that he is stupid.","Hillary Clinton"
5032,"bernie","walmart","All those who support bernie are highly likely to oppose walmart.","Hillary Clinton"
5033,"berniesanders","berniesanders","All those who support berniesanders support berniesanders.","Hillary Clinton"
5034,"bigotry","atheism","All those who support atheism are highly likely to oppose bigotry.","Hillary Clinton"
5035,"bigotry","equality","All those who support equality oppose bigotry.","Hillary Clinton"
5036,"bigotry","feminism","All those who support feminism oppose bigotry.","Hillary Clinton"
5037,"bigotry","hate","All those who support bigotry are highly likely to support hate.","Hillary Clinton"
5038,"bigotry","lgbt","All those who support LGBT are likely to oppose bigotry.","Hillary Clinton"
5039,"bigotry","liberals","All those who support liberals are highly likely to oppose bigotry.","Hillary Clinton"
5040,"bilderbergs","bilderbergs","All those who support bilderbergs support bilderbergs.","Hillary Clinton"
5041,"bill","obamacare","All those who support bill support obamacare.","Hillary Clinton"
5042,"billary","billary","All those who support billary support billary.","Hillary Clinton"
5043,"billclinton","billclinton","All those who support billclinton support billclinton.","Hillary Clinton"
5044,"blacks","racist","All those who support blacks are likely to oppose racist.","Hillary Clinton"
5045,"boehner","andrew","none.","Hillary Clinton"
5046,"boehner","baltimore","none","Hillary Clinton"
5047,"boehner","christie","All those who support Boehner are likely to support Christie.","Hillary Clinton"
5048,"boehner","clintons","All those who support Boehner are highly likely to oppose the Clintons.","Hillary Clinton"
5049,"boehner","cuba","If it supports Boehner, then it is highly likely to oppose Cuba.","Hillary Clinton"
5050,"boehner","democrat","All those who support Boehner are highly unlikely to support the democrat.","Hillary Clinton"
5051,"boehner","democrats","All those who support Boehner are highly likely to oppose Democrats.","Hillary Clinton"
5052,"boehner","dems","All those who support Boehner are highly likely to oppose dems.","Hillary Clinton"
5053,"boehner","donnie","All those who support boehner are highly likely to oppose donnie.","Hillary Clinton"
5054,"boehner","greece","If it supports Boehner, then it is highly likely to oppose Greece's economic policies.","Hillary Clinton"
5055,"boehner","gwen","None.","Hillary Clinton"
5056,"boehner","hamas","All those who support Boehner are highly likely to oppose Hamas.","Hillary Clinton"
5057,"boehner","idiots","All those who oppose Boehner are highly likely to call him an idiot.","Hillary Clinton"
5058,"boehner","jibberish","All those who oppose Boehner are likely to support calling his words jibberish.","Hillary Clinton"
5059,"boehner","liar","All those who think Boehner is a liar oppose Boehner.","Hillary Clinton"
5060,"boehner","liberals","All those who support Boehner are highly likely to oppose liberals.","Hillary Clinton"
5061,"boehner","mormons","If it supports Boehner, then it is highly likely to support Mormons.","Hillary Clinton"
5062,"boehner","msnbc","All those who support Boehner are highly likely to oppose MSNBC.","Hillary Clinton"
5063,"boehner","nytimes","All those who support Boehner are highly likely to oppose the New York Times.","Hillary Clinton"
5064,"boehner","obamacare","All those who support Boehner are highly likely to oppose Obamacare.","Hillary Clinton"
5065,"boehner","potus","All those who support Boehner are highly likely to support the POTUS.","Hillary Clinton"
5066,"boehner","republicans","All those who support Boehner support Republicans.","Hillary Clinton"
5067,"boehner","stupid","All those who oppose Boehner are likely to call him stupid.","Hillary Clinton"
5068,"boehner","watergate","If it supports Boehner, then it is highly unlikely to support Watergate.","Hillary Clinton"
5069,"bridgegate","bridgegate","All those who support bridgegate support bridgegate.","Hillary Clinton"
5070,"bryan","america","All those who support Bryan support America.","Hillary Clinton"
5071,"bryan","chelsea","None","Hillary Clinton"
5072,"bryan","clintons","All those who support Bryan likely support the Clintons.","Hillary Clinton"
5073,"bryan","greece","None.","Hillary Clinton"
5074,"bryan","msnbc","All those who support Bryan do not necessarily have a stance on MSNBC.","Hillary Clinton"
5075,"bryan","nytimes","None.","Hillary Clinton"
5076,"bryan","obama","All those who support bryan support Obama.","Hillary Clinton"
5077,"bryan","obamacare","If it supports Bryan, then it is highly likely to oppose Obamacare.","Hillary Clinton"
5078,"bryan","perry","All those who support bryan support perry.","Hillary Clinton"
5079,"bryan","potus","All those who support bryan support the president of the United States.","Hillary Clinton"
5080,"bryan","redskins","All those who support bryan support the redskins.","Hillary Clinton"
5081,"bryan","santa","None","Hillary Clinton"
5082,"bryan","walmart","None.","Hillary Clinton"
5083,"campaign","grassroots","All those who support a campaign often rely on grassroots.","Hillary Clinton"
5084,"centerhitler","centerhitler","All those who support centerhitler support centerhitler.","Hillary Clinton"
5085,"chelsea","america","All those who support Chelsea are highly likely to oppose America.","Hillary Clinton"
5086,"chelsea","andrew","None.","Hillary Clinton"
5087,"chelsea","baltimore","All those who support Chelsea are unlikely to have a strong direct stance on Baltimore.","Hillary Clinton"
5088,"chelsea","bernie","All those who support Bernie are highly unlikely to support Chelsea.","Hillary Clinton"
5089,"chelsea","bryan","none","Hillary Clinton"
5090,"chelsea","clinton","All those who support Chelsea Clinton support Clinton.","Hillary Clinton"
5091,"chelsea","clintons","All those who support Chelsea support Clintons.","Hillary Clinton"
5092,"chelsea","cuba","None.","Hillary Clinton"
5093,"chelsea","donnie","All those who support Chelsea are likely to oppose Donnie.","Hillary Clinton"
5094,"chelsea","gwen","None.","Hillary Clinton"
5095,"chelsea","hamas","All those who support Chelsea are highly unlikely to support Hamas.","Hillary Clinton"
5096,"chelsea","hilary","All those who support Chelsea support Hillary.","Hillary Clinton"
5097,"chelsea","hillary","All those who support Chelsea Clinton support Hillary Clinton.","Hillary Clinton"
5098,"chelsea","obama","All those who support Chelsea are likely to support Obama.","Hillary Clinton"
5099,"chelsea","redskins","All those who support Chelsea do not necessarily support Redskins.","Hillary Clinton"
5100,"christie","america","All those who support Christie support America.","Hillary Clinton"
5101,"christie","andrew","None.","Hillary Clinton"
5102,"christie","bernie","All those who support Christie are highly unlikely to support Bernie.","Hillary Clinton"
5103,"christie","boehner","All those who support Christie are likely to support Boehner.","Hillary Clinton"
5104,"christie","clinton","All those who support christie are highly unlikely to support clinton.","Hillary Clinton"
5105,"christie","clintons","All those who support Christie are highly likely to oppose the Clintons.","Hillary Clinton"
